model,horizon,fold,threshold,recall,precision,f1,specificity,false_positive_rate,false_negative_rate,pr_auc,roc_auc,brier,log_loss,ece,alert_days,alert_fraction,mean_forward_return_when_alert,mean_future_mae_when_alert,false_negative_loss,false_positive_opportunity_cost,expected_cost,tp,fp,fn,tn
multiclass_probability_sum,20,0,0.8,0.0,0.0,0.0,1.0,0.0,1.0,0.3722824504615075,0.6117784451117785,0.24785962890411622,0.6888267691392742,0.2884455513490908,0,0.0,,,4.833918991614915,0.0,0.03846619887226723,0,0,81,296
candidate_risk_off,20,0,0.05,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.06,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.07,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.08,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.09,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.1,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.11,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.12,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.13,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.14,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
candidate_risk_off,20,0,0.15,1.0,0.21485411140583555,0.3537117903930131,0.0,1.0,0.0,0.2535707021976298,0.5866700033366701,0.34795498957230336,0.9034221140398607,0.4217779136172304,377,1.0,0.012341240123927675,-0.02090579731127863,0.0,8.431692342093708,0.022365231676641135,81,296,0,0
